Date,State,Dead,Injured,Total
11/2/2021,Georgia,1,4,5
10/2/2021,Georgia,0,4,4
9/2/2021,Texas,0,4,4
9/2/2021,Minnesota,1,4,5
8/2/2021,Alabama,0,4,4
6/2/2021,Louisiana,0,4,4
6/2/2021,Washington,1,3,4
6/2/2021,Tennessee,1,4,5
6/2/2021,Illinois,1,5,6
5/2/2021,Mississippi,3,1,4
5/2/2021,Virginia,2,2,4
5/2/2021,Pennsylvania,1,3,4
4/2/2021,North Carolina,2,3,5
3/2/2021,Colorado,3,1,4
3/2/2021,Colorado,2,3,5
3/2/2021,Tennessee,1,3,4
2/2/2021,Oklahoma,6,1,7
2/2/2021,Florida,3,3,6
1/2/2021,New York,1,3,4
30/01/2021,New York,1,4,5
29/01/2021,Pennsylvania,2,3,5
28/01/2021,Michigan,1,4,5
27/01/2021,California,0,4,4
25/01/2021,"Washington, D.C.",1,4,5
24/01/2021,Nevada,0,5,5
24/01/2021,Indiana,6,1,7
22/01/2021,Kentucky,0,5,5
21/01/2021,California,1,3,4
20/01/2021,Louisiana,0,4,4
18/01/2021,Pennsylvania,0,4,4
17/01/2021,Arizona,0,5,5
17/01/2021,Arizona,1,6,7
16/01/2021,Illinois,0,5,5
16/01/2021,California,0,5,5
15/01/2021,Pennsylvania,0,4,4
11/1/2021,Florida,0,4,4
9/1/2021,Texas,1,3,4
9/1/2021,Illinois,6,2,8
7/1/2021,"Washington, D.C.",0,5,5
6/1/2021,Virginia,1,3,4
6/1/2021,Texas,1,3,4
5/1/2021,Florida,0,5,5
4/1/2021,Florida,0,7,7
4/1/2021,Louisiana,0,4,4
3/1/2021,Florida,0,4,4
3/1/2021,Florida,0,8,8
3/1/2021,Oregon,0,4,4
3/1/2021,Texas,1,4,5
3/1/2021,California,2,2,4
3/1/2021,Louisiana,2,3,5
1/1/2021,Illinois,0,4,4
1/1/2021,Iowa,1,4,5
1/1/2021,Texas,1,3,4
1/1/2021,Arkansas,0,7,7
